
  
   Name                                | Table size | Index size | Total size | Estimated row count | Seq scans 
  -------------------------------------|------------|------------|------------|---------------------|-----------
   public.learning_events              | 576 kB     | 1440 kB    | 2016 kB    | 43                  | 659       
   public.child_rag_profiles           | 8192 bytes | 1240 kB    | 1248 kB    | 0                   | 73        
   public.el_learning_units            | 416 kB     | 336 kB     | 752 kB     | 69                  | 118       
   public.activity_log                 | 224 kB     | 360 kB     | 584 kB     | 1278                | 83        
   public.scheduled_sessions           | 64 kB      | 480 kB     | 544 kB     | 32                  | 5128      
   public.ab_test_events               | 280 kB     | 208 kB     | 488 kB     | 1050                | 55        
   public.children                     | 80 kB      | 368 kB     | 448 kB     | 42                  | 20961     
   public.coaches                      | 104 kB     | 224 kB     | 328 kB     | 2                   | 39134     
   public.site_settings                | 168 kB     | 136 kB     | 304 kB     | 269                 | 6403      
   public.wa_lead_messages             | 168 kB     | 128 kB     | 296 kB     | 210                 | 9         
   public.discovery_calls              | 48 kB      | 240 kB     | 288 kB     | 14                  | 1302      
   public.enrollments                  | 56 kB      | 224 kB     | 280 kB     | 7                   | 4487      
   public.el_skill_observations        | 144 kB     | 104 kB     | 248 kB     | 632                 | 11        
   public.coach_applications           | 136 kB     | 80 kB      | 216 kB     | 18                  | 256       
   public.el_content_items             | 72 kB      | 136 kB     | 208 kB     | 8                   | 34        
   public.session_templates            | 88 kB      | 120 kB     | 208 kB     | 40                  | 22        
   public.books                        | 16 kB      | 192 kB     | 208 kB     | 5                   | 157       
   public.bookings                     | 72 kB      | 128 kB     | 200 kB     | 25                  | 147       
   public.communication_templates      | 88 kB      | 96 kB      | 184 kB     | 35                  | 135       
   public.child_intelligence_profiles  | 48 kB      | 112 kB     | 160 kB     | 42                  | 7         
   public.wa_lead_conversations        | 48 kB      | 96 kB      | 144 kB     | 4                   | 531       
   public.recall_bot_sessions          | 48 kB      | 96 kB      | 144 kB     | 14                  | 392       
   public.parents                      | 48 kB      | 96 kB      | 144 kB     | 7                   | 2382      
   public.group_sessions               | 16 kB      | 120 kB     | 136 kB     | 7                   | 200       
   public.el_videos                    | 80 kB      | 48 kB      | 128 kB     | 86                  | 61        
   public.payments                     | 16 kB      | 112 kB     | 128 kB     | 7                   | 992       
   public.coupons                      | 16 kB      | 112 kB     | 128 kB     | 4                   | 76        
   public.referrers                    | 16 kB      | 112 kB     | 128 kB     | 2                   | 7         
   public.wa_leads                     | 16 kB      | 112 kB     | 128 kB     | 4                   | 28        
   public.group_session_participants   | 16 kB      | 112 kB     | 128 kB     | 1                   | 117       
   public.el_skills                    | 48 kB      | 80 kB      | 128 kB     | 79                  | 145       
   public.agreement_signing_log        | 72 kB      | 48 kB      | 120 kB     | 0                   | 81        
   public.enrollment_revenue           | 16 kB      | 104 kB     | 120 kB     | 0                   | 162       
   public.communication_logs           | 48 kB      | 64 kB      | 112 kB     | 22                  | 59        
   public.coach_schedule_rules         | 16 kB      | 88 kB      | 104 kB     | 12                  | 47        
   public.agent_actions                | 48 kB      | 56 kB      | 104 kB     | 28                  | 4         
   public.el_game_content              | 48 kB      | 48 kB      | 96 kB      | 13                  | 54        
   public.coach_availability_slots     | 16 kB      | 80 kB      | 96 kB      | 2                   | 36        
   public.interactions                 | 16 kB      | 80 kB      | 96 kB      | 0                   | 93        
   public.coach_availability           | 16 kB      | 80 kB      | 96 kB      | 1                   | 74        
   public.pricing_plans                | 48 kB      | 48 kB      | 96 kB      | 4                   | 7317      
   public.el_content_tags              | 16 kB      | 80 kB      | 96 kB      | 10                  | 9         
   public.lead_lifecycle               | 16 kB      | 72 kB      | 88 kB      | 2                   | 5         
   public.group_class_coupons          | 16 kB      | 64 kB      | 80 kB      | 5                   | 70        
   public.skill_categories             | 16 kB      | 64 kB      | 80 kB      | 10                  | 92        
   public.enrollment_events            | 16 kB      | 64 kB      | 80 kB      | 2                   | 68        
   public.coach_payouts                | 8192 bytes | 72 kB      | 80 kB      | 0                   | 276       
   public.reading_skills               | 48 kB      | 32 kB      | 80 kB      | 17                  | 85        
   public.child_skill_progress         | 16 kB      | 64 kB      | 80 kB      | 0                   | 84        
   public.video_quizzes                | 48 kB      | 32 kB      | 80 kB      | 30                  | 79        
   public.admin_insights               | 16 kB      | 64 kB      | 80 kB      | 8                   | 80        
